chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr1	5374000	5375000	chr1	5425000	5426000	0,0,0	4.82401	0.99864364	1.9493556	2.8823574	4.707499	4.0415587	1.654067	6.603654
chr1	3257000	3258000	chr1	3285000	3286000	0,0,0	3.983994	0.9986532	1.5906291	3.8150082	4.2977114	3.2195687	1.7187159	6.610687
chr1	3465000	3466000	chr1	3504000	3505000	0,0,0	5.836593	0.9999851	1.9457169	6.791973	8.182103	5.078187	2.5771694	11.115497
chr1	8933000	8934000	chr1	8957000	8958000	0,0,0	2.789347	0.9826633	1.5661199	1.5407224	2.00841	2.6858177	1.0388434	4.055349
chr1	6377000	6378000	chr1	6421000	6422000	0,0,0	6.6093144	0.9999698	1.8847942	7.5122213	7.868695	3.7303996	3.1097138	10.40793
chr1	8372000	8372500	chr1	8383000	8383500	0,0,0	4.524377	1.0	2.1263626	2.166413	2.518672	2.4235659	1.0310999	4.3492665
chr1	16530000	16531000	chr1	16575000	16576000	0,0,0	3.807579	0.99700814	1.6276709	2.8683498	3.7654214	3.2628198	1.3997892	5.812464
chr1	9223000	9224000	chr1	9269000	9270000	0,0,0	5.103626	0.9971736	2.106728	3.1171844	3.8266318	3.0985277	1.5094709	5.8693585
chr1	16659000	16660000	chr1	16695000	16696000	0,0,0	3.4459205	0.99763274	1.9067041	1.736551	3.3518925	4.5030556	1.0937072	6.0466566
chr1	13992000	13993000	chr1	14067000	14068000	0,0,0	3.635471	0.9772759	2.069488	1.0768386	2.008883	2.8275328	0.51329094	3.7847226
chr1	16577000	16578000	chr1	16634000	16635000	0,0,0	2.59267	0.9783837	1.4136819	1.587049	1.9311479	2.4239955	0.81115186	3.8347056
chr1	5559000	5560000	chr1	5584000	5585000	0,0,0	2.9641147	0.99159926	1.4092922	1.8521073	2.9916122	3.1336122	1.1200813	4.7799296
chr1	5210000	5211000	chr1	5243000	5244000	0,0,0	4.2245393	0.9991605	2.0067122	3.3152494	4.1529164	4.1366177	1.5880665	7.0835056
chr1	13426000	13427000	chr1	13449000	13450000	0,0,0	3.1175542	0.9860263	1.5852765	2.3040414	3.649768	4.204547	1.1268796	6.2525835
chr1	19371000	19372000	chr1	19427000	19428000	0,0,0	6.3443117	0.9998768	2.2898614	4.644873	6.667286	4.874049	2.612085	9.002825
